"","NAME","ARTIST NAME","Genius Lyrics Link","Twitter Name","Recent Twitter Sentiment"
"1","... Ready For It?","Taylor Swift","<a href='https://genius.com/Taylor-swift-ready-for-it-lyrics' target='_blank'>https://genius.com/Taylor-swift-ready-for-it-lyrics</a>","taylorswift13",0.728683035714286
"2","You’re The Best Thing About Me","U2","<a href='https://genius.com/U2-youre-the-best-thing-about-me-lyrics' target='_blank'>https://genius.com/U2-youre-the-best-thing-about-me-lyrics</a>","U2com",0.299609882964889
"3","Nobody Like You","Kaskade","<a href='https://genius.com/Kaskade-nobody-like-you-lyrics' target='_blank'>https://genius.com/Kaskade-nobody-like-you-lyrics</a>","Kaskade",0.306584362139918
"4","Show of Hands","Kaskade, LöKii, Mr. Tape","<a href='https://genius.com/Kaskade-show-of-hands-lyrics' target='_blank'>https://genius.com/Kaskade-show-of-hands-lyrics</a>","Kaskade",0.306584362139918
"5","Tell Me","Kaskade, Late Night Alumni","<a href='https://genius.com/Kaskade-tell-me-lyrics' target='_blank'>https://genius.com/Kaskade-tell-me-lyrics</a>","Kaskade",0.306584362139918
"6","Play with Me","Kaskade","<a href='https://genius.com/Kaskade-play-with-me-lyrics' target='_blank'>https://genius.com/Kaskade-play-with-me-lyrics</a>","Kaskade",0.306584362139918
"7","Gone","Kaskade, Late Night Alumni","<a href='https://genius.com/Kaskade-gone-lyrics' target='_blank'>https://genius.com/Kaskade-gone-lyrics</a>","Kaskade",0.306584362139918
"8","Nobody Like You - Sun Soaked Mix","Kaskade","<a href='https://genius.com/Kaskade-nobody-like-you-sun-soaked-mix-lyrics' target='_blank'>https://genius.com/Kaskade-nobody-like-you-sun-soaked-mix-lyrics</a>","Kaskade",0.306584362139918
"9","No Man is an Island","The Script","<a href='https://genius.com/The-script-no-man-is-an-island-lyrics' target='_blank'>https://genius.com/The-script-no-man-is-an-island-lyrics</a>","No Twitter Name",0.19828990228013
"10","Rain","The Script","<a href='https://genius.com/The-script-rain-lyrics' target='_blank'>https://genius.com/The-script-rain-lyrics</a>","No Twitter Name",0.19828990228013
"11","Arms Open","The Script","<a href='https://genius.com/The-script-arms-open-lyrics' target='_blank'>https://genius.com/The-script-arms-open-lyrics</a>","No Twitter Name",0.19828990228013
"12","Rock the World","The Script","<a href='https://genius.com/The-script-rock-the-world-lyrics' target='_blank'>https://genius.com/The-script-rock-the-world-lyrics</a>","No Twitter Name",0.19828990228013
